epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7924,0.72231,2.33996,1.01847,0.98537,0.4718,0.82951,0.69882,0.62733,2.12906,0.90879,0.00051677,0.00051677,0.00051677
2,194.144,0.41988,0.674,0.87863,0.97495,0.9374,0.9818,0.91551,0.37345,0.61111,0.84071,0.000980896,0.000980896,0.000980896
3,283.786,0.37075,0.50843,0.85792,0.99794,0.9972,0.995,0.91538,0.38372,0.49338,0.83066,0.00137461,0.00137461,0.00137461
4,372.863,0.39273,0.51389,0.85603,0.99895,1,0.99496,0.93093,0.36005,0.43827,0.81692,0.00133693,0.00133693,0.00133693
5,462.685,0.35845,0.46799,0.84604,0.99795,1,0.995,0.98282,0.23102,0.41144,0.79078,0.00122691,0.00122691,0.00122691
6,549.32,0.3168,0.42832,0.82233,0.99987,1,0.995,0.94474,0.31212,0.42393,0.80055,0.00111689,0.00111689,0.00111689
7,636.738,0.29364,0.40064,0.81731,0.9996,1,0.995,0.97967,0.22947,0.37781,0.79042,0.00100687,0.00100687,0.00100687
8,735.31,0.26305,0.37279,0.80412,0.99924,1,0.995,0.98121,0.21525,0.34131,0.78524,0.000896846,0.000896846,0.000896846
9,820.981,0.25684,0.35744,0.80615,0.99986,1,0.995,0.98217,0.21258,0.35531,0.78793,0.000786824,0.000786824,0.000786824
10,905.856,0.23469,0.33181,0.80532,0.99991,1,0.995,0.98841,0.20823,0.31263,0.77974,0.000676802,0.000676802,0.000676802
11,1005.59,0.20498,0.31355,0.79943,0.99984,1,0.995,0.99484,0.15614,0.28658,0.77914,0.00056678,0.00056678,0.00056678
12,1098.8,0.20174,0.3,0.79942,0.99987,1,0.995,0.995,0.15937,0.27094,0.77514,0.000456758,0.000456758,0.000456758
13,1184.68,0.18714,0.27935,0.79568,0.99991,1,0.995,0.99461,0.1743,0.25072,0.77756,0.000346736,0.000346736,0.000346736
14,1269.46,0.17643,0.26726,0.7996,0.99991,1,0.995,0.99492,0.13755,0.23037,0.77334,0.000236714,0.000236714,0.000236714
15,1354.99,0.16563,0.25834,0.79504,0.9999,1,0.995,0.99499,0.14183,0.23005,0.77364,0.000126692,0.000126692,0.000126692
